candidate,candidate_label,market,topk,variant,linear_cost_bps,aum_multiplier,impact_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,2.00,5.00,863,0.40134031,0.36146981,0.03987050,4.47705976,4.16314414,0.31391562,-0.16397180,-0.16846179,0.00448998,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,2.00,10.00,863,0.38826566,0.34843964,0.03982603,4.35239119,4.03292115,0.31947004,-0.16642847,-0.17130499,0.00487651,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,2.00,20.00,863,0.36247840,0.32274943,0.03972897,4.10256325,3.77210512,0.33045813,-0.17132066,-0.17696283,0.00564217,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,5.00,0.00,863,0.41453712,0.37462492,0.03991220,4.60153527,4.29321187,0.30832340,-0.16150806,-0.16560902,0.00410096,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,5.00,5.00,863,0.39372733,0.35388234,0.03984499,4.40463209,4.08748386,0.31714823,-0.16540033,-0.17011524,0.00471491,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,5.00,10.00,863,0.37322132,0.33345040,0.03977092,4.20727835,3.88140247,0.32587588,-0.16927494,-0.17459760,0.00532266,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,5.00,20.00,863,0.33310315,0.29350009,0.03960306,3.81156910,3.46855788,0.34301122,-0.17697150,-0.18349126,0.00651975,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,10.00,0.00,863,0.41453712,0.37462492,0.03991220,4.60153527,4.29321187,0.30832340,-0.16150806,-0.16560902,0.00410096,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,10.00,5.00,863,0.38519686,0.34538173,0.03981513,4.32293516,4.00215962,0.32077555,-0.16700738,-0.17197478,0.00496740,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,10.00,10.00,863,0.35646053,0.31675601,0.03970452,4.04350635,3.71047898,0.33302737,-0.17247145,-0.17829293,0.00582148,True,True,True
